date,Headline,neg,neu,pos,compound,capital,Sentiment
28/09/2022,BBC News personal-finance correspondent Kevin Peachey answers your mortgage questions.,0.034416337,0.86234635,0.103237346,0.673242033,POSITIVE,positive
28/09/2022,Pakistan take a 3-2 lead in their Twenty20 series against England with a six-run victory in a low-scoring match in Lahore.,0.003489517,0.66188335,0.33462706,0.995659649,POSITIVE,positive
28/09/2022,A £65bn injection from the Bank of England to prop up pension funds on Wednesday leads the papers.,0.009101,0.79242074,0.19847825,0.839060664,NEGATIVE,negative
28/09/2022,The incident involving an Icelandair and Korean Air aircraft is being investigated.,0.21487252,0.7679899,0.017137628,0.846161902,NEGATIVE,negative
29/09/2022,"The average annual household energy bill in the UK will rise from £1,971 to £2,500.",0,0.87,0.13,0.2732,POSITIVE,positive
29/09/2022,A man died after four telephone consultations with his GP surgery but no face-to-face assessment.,0.298,0.702,0,-0.6249,NEGATIVE,negative
29/09/2022,"A fake car dealership website defrauded victims out of thousands of pounds, BBC investigation finds.",0.31,0.69,0,-0.6597,NEGATIVE,negative
29/09/2022,One woman who made the switch says her coal bunker has been raided by a thief.,0.195,0.805,0,-0.5267,NEGATIVE,negative
29/09/2022,Chancellor Kwasi Kwarteng says he will stick to his tax cut plan despite days of market turmoil.,0.235,0.765,0,-0.5574,NEGATIVE,negative
29/09/2022,Consumer Affairs Correspondent Colletta Smith has picked out some of the best ways to cut costs in your home.,0.09,0.73,0.18,0.4767,POSITIVE,positive
29/09/2022,Stadia allows players to stream games online without owning a console.,0.010626009,0.4980913,0.49128267,0.986416817,NEGATIVE,negative
29/09/2022,"Visual guide to powerful Hurricane Ian, which has caused devastation in Cuba and Florida",0.55017394,0.41994566,0.029880458,0.996198595,POSITIVE,positive
29/09/2022,BBC investigation finds oil companies not declaring millions of tonnes of emissions linked to cancer.,0.239,0.761,0,-0.6597,NEGATIVE,negative
29/09/2022,Anne Sacoolas is accused of causing death by dangerous driving following a collision in 2019.,0.539,0.461,0,-0.8934,NEGATIVE,negative
29/09/2022,A 34-year-old man is held on suspicion of murder after the killing of schoolgirl Olivia Pratt-Korbel.,0.494,0.506,0,-0.9136,NEGATIVE,negative
29/09/2022,A-level and GCSE results in 2023 will be much closer to 2019 levels after a boom in top grades.,0,0.904,0.096,0.2023,POSITIVE,positive
29/09/2022,The time and cause of Elizabeth II's death have been revealed by Scottish authorities.,0.231,0.769,0,-0.5994,NEGATIVE,negative
29/09/2022,US Energy Secretary Jennifer Granholm tells the BBC its unlikely Nord Stream leaks are coincidence.,0,0.87,0.13,0.2732,POSITIVE,positive
29/09/2022,Four dogs successfully identified samples of sweat or breath taken from a stressed person.,0.145,0.663,0.193,0.2023,POSITIVE,positive
29/09/2022,The Charity Commission is investigating concerns over safeguarding.,0,0.55,0.45,0.5994,POSITIVE,positive
29/09/2022,"More than 40 leaders, including from all the EU states, were invited to discuss security and energy issues.",0,0.78,0.22,0.5423,POSITIVE,positive
29/09/2022,"The foundation made no charitable donations by the time it closed, and the dragon was never built.",0.111,0.754,0.136,0.128,POSITIVE,positive
29/09/2022,Frontwoman Hayley Williams talks about returning to the stage and teases plans for a 2023 UK tour.,0.128,0.872,0,-0.296,NEGATIVE,negative
29/09/2022,Police say nobody was seriously injured in the incident outside an airbase.,0.306,0.694,0,-0.5267,NEGATIVE,negative
29/09/2022,Liz Truss's efforts to reassure the markets that she can control government spending lead the papers.,0,0.862,0.138,0.34,POSITIVE,positive
29/09/2022,"In 1995, Coolio combined street-tough lyrics with a pop sensibility - and rap would never be the same.",0.16660468,0.5598344,0.27356088,0.974213421,POSITIVE,positive
29/09/2022,The director's live version of the 1999 film will be among the first shows at Manchester's Factory.,0.003181536,0.8891162,0.10770222,0.998928964,POSITIVE,positive
29/09/2022,"For years, Suffolk teenager Katy Shaw's symptoms were either misdiagnosed or not believed.",0.90900135,0.08823335,0.002765311,0.998165071,NEGATIVE,negative
29/09/2022,Hundreds of people queue outside Windsor Castle to see the final resting place of Queen Elizabeth II.,0.1206028,0.7844726,0.094924554,0.983023226,POSITIVE,positive
29/09/2022,How a podcast may have solved the mystery of a dead child washed up on a Fife beach in 1971.,0.201,0.701,0.098,-0.4939,NEGATIVE,negative
29/09/2022,An own goal by goalkeeper Kirstie Levell deep in stoppage time gives Everton victory over Leicester City in the Women's Super League.,0,0.843,0.157,0.5994,POSITIVE,positive
29/09/2022,Tyson Fury urges fellow British heavyweight Anthony Joshua to sign a contract for a world-title fight in December.,0.31,0.69,0,-0.743,NEGATIVE,negative
29/09/2022,St Helens duo Jonny Lomax and Mark Percival are ruled out of England's 24-man squad for the World Cup because of injury concerns.,0.113,0.887,0,-0.4215,NEGATIVE,negative
29/09/2022,Liam Norwell takes a stunning 9-62 as Warwickshire beat Hampshire by five runs to send Yorkshire down.,0,0.852,0.148,0.3818,POSITIVE,positive
29/09/2022,"Romain Langasque says he will remember equalling the Old Course record to lead the Alfred Dunhill Links Championship ""for the rest of my life"".",0,0.888,0.112,0.4404,POSITIVE,positive
29/09/2022,The PM's reaction was keenly awaited after a dramatic week which saw a mini-budget and the pound slump.,0.064,0.819,0.117,0.2263,POSITIVE,positive
29/09/2022,Anger rises after 40% of Australians had details stolen in possibly the nation's worst-ever breach.,0.347,0.653,0,-0.7845,NEGATIVE,negative
29/09/2022,West Bromwich Albion women will wear navy shorts because of concerns about having to wear white while on their periods.,0.30583438,0.66548616,0.028679432,0.964171469,NEGATIVE,negative
29/09/2022,A first-time buyer tells BBC One's Question Time four mortgage offers were withdrawn after market turmoil.,0.152,0.848,0,-0.3612,NEGATIVE,negative
29/09/2022,The prime minister was asked about her plans during a series of BBC local radio interviews.,0.08076436,0.8803143,0.03892139,0.963646352,NEGATIVE,negative
29/09/2022,BBC investigation finds oil companies not declaring millions of tonnes of cancer-linked emissions.,0.780446,0.21249683,0.007057176,0.993575513,NEGATIVE,negative
29/09/2022,"Arsenal's Gabriel Jesus, Gabriel Martinelli and Granit Xhaka rate each others' style choices for MOTDx, as they accessorise the Gunners' new Caribbean-themed third kit.",0.003794111,0.6491712,0.34703472,0.939779043,POSITIVE,positive
29/09/2022,"The Queen was buried with Prince Philip and alongside the remains of her father, mother and sister.",0.14526722,0.8100162,0.044716556,0.987722874,POSITIVE,positive
29/09/2022,Amber Kotrri says since her victory other businesses said they also received letters from Zara.,0.034793213,0.91112244,0.05408438,0.905587673,NEGATIVE,negative
29/09/2022,Listen to some of the key moments from the prime minister’s first interviews since the mini-budget announcement.,0.011957024,0.7832016,0.2048414,0.997753203,POSITIVE,positive
29/09/2022,The BBC's Economics Editor Faisal Islam explains why the Bank of England had to act.,0.08557482,0.8657605,0.04866459,0.996724904,NEGATIVE,negative
30/09/2022,"This is an attempt to divert from Russia's problems on the battlefield, says the BBC's Steve Rosenberg.",0.261,0.739,0,-0.6486,NEGATIVE,negative
30/09/2022,"Germany, France, the UK and Sweden have been warned over the involvement of their ""agents"", Iran says.",0.116,0.884,0,-0.2732,NEGATIVE,negative
30/09/2022,Two young people brought up in care speak about challenging stereotypes and the need for safe housing.,0,0.645,0.355,0.7717,POSITIVE,positive
30/09/2022,"Rural rough sleepers face harsh conditions as a taskforce warns of a hidden homelessness ""crisis"".",0.281,0.719,0,-0.5106,NEGATIVE,negative
30/09/2022,Liverpool's Harvey Elliott and Fabio Carvalho put their friendship to the test with Honesty Cards.,0,0.681,0.319,0.7269,POSITIVE,positive
30/09/2022,"Over-50s can get another Covid booster, as can younger people who are at higher risk, and NHS staff.",0.11,0.89,0,-0.2732,NEGATIVE,negative
30/09/2022,Western nations have imposed severe sanctions on Russia over its invasion of Ukraine.,0.262,0.738,0,-0.4404,NEGATIVE,negative
30/09/2022,"Thousands of transport workers are striking in an ongoing row over pay, jobs and conditions.",0.091,0.909,0,-0.1027,NEGATIVE,negative
30/09/2022,"Millions are seeing their energy bills go up, but there are ways to help ease the mounting costs.",0,0.642,0.358,0.81,POSITIVE,positive
30/09/2022,Trooper Jack Burnell-Williams reportedly took part in the late Queen's funeral procession.,0.185,0.815,0,-0.3612,NEGATIVE,negative
30/09/2022,The presenter says the BBC could have handled her exit better when it decided to shake up the show.,0.079,0.787,0.134,0.296,POSITIVE,positive
30/09/2022,"Luton Town inflict a sixth Championship defeat of the season on Hull City, who sacked manager Shota Arveladze just hours before kick-off.",0.12,0.763,0.116,-0.0258,NEGATIVE,negative
30/09/2022,"Jurgen Klopp says he would pick ""exceptional"" Trent Alexander-Arnold in any team after the full-back was overlooked by England manager Gareth Southgate.",0.05,0.95,0,-0.0258,NEGATIVE,negative
30/09/2022,Alex Albon declares himself fit to race in the Singapore Grand Prix after completing practice on his first day on track after a medical emergency.,0.089,0.722,0.189,0.4404,POSITIVE,positive
30/09/2022,Phil Salt smashes an unbeaten 88 from 41 balls as England storm to an eight-wicket win over Pakistan in the sixth T20 international.,0,0.853,0.147,0.5859,POSITIVE,positive
30/09/2022,"The Governess, Anne Hegerty, on autism and how she finds everyday household tasks difficult.",0.161,0.839,0,-0.3612,NEGATIVE,negative
30/09/2022,Denmark and Greenland agree to investigate traumatising birth control procedures on Inuit Greenlanders.,0.177,0.671,0.152,-0.1027,NEGATIVE,negative
30/09/2022,It revealed a lump on the newborn's leg was a rare and benign mass called a myofibroma.,0,0.85,0.15,0.3182,POSITIVE,positive
30/09/2022,Liz Truss and the chancellor will meet the OBR as a group of MPs call for its forecast to be released.,0.01587588,0.9337271,0.05039697,0.964184403,NEGATIVE,negative
30/09/2022,"Within hours, Vladimir Putin is expected to declare that four Ukrainian regions are joining Russia.",0.06894231,0.87580425,0.05525346,0.989280283,POSITIVE,positive
30/09/2022,All UK households will get a grant which will reduce energy bills by £400 from October.,0,0.739,0.261,0.5574,POSITIVE,positive
30/09/2022,"Police search for the body of Keith Bennett, killed in 1964, after ""potential remains"" are found.",0.231,0.769,0,-0.6705,NEGATIVE,negative
30/09/2022,"Researchers hope to learn more about the species, found in a Salzburg forest, before it goes into hibernation.",0,0.847,0.153,0.4404,POSITIVE,positive
30/09/2022,"After wreaking deadly havoc in Florida, Ian smashes piers in South Carolina and floods neighbourhoods.",0.218,0.782,0,-0.5994,NEGATIVE,negative
30/09/2022,"The deal is one of the biggest in music history, approaching the sum paid for Bob Dylan's music.",0.003699985,0.15989429,0.8364057,0.99934262,POSITIVE,positive
30/09/2022,The chancellor's pledge to bring in a debt-reduction plan and the police hunt for Keith Bennett's body feature.,0.07467066,0.8913192,0.03401018,0.708819687,POSITIVE,positive
30/09/2022,"Seen from above, the wreckage Hurricane Ian left in its wake shows the power of the historic storm.",0.04352514,0.732532,0.22394288,0.9991166,POSITIVE,positive
30/09/2022,The last seven days have been a rollercoaster with mortgage costs and the pound thrown off course.,0.5561166,0.4109371,0.032946337,0.999388695,NEGATIVE,negative
30/09/2022,The War on Larkiv game was accepted and promoted by the world's largest children's game platform.,0.003041275,0.17773616,0.81922257,0.999519587,POSITIVE,positive
30/09/2022,"Experts call for urgent action to stem brain drain of staff as 40,000 walk away from health service.",0,0.904,0.096,0.2023,POSITIVE,positive
30/09/2022,"Cashy C's, a rap musical about life on the breadline, is being performed in an empty Bradford shop.",0.101,0.899,0,-0.2023,NEGATIVE,negative
30/09/2022,Lance Armstrong said he'd apologise to the man he sued for reporting on his doping,0,0.843,0.157,0.3818,POSITIVE,positive
30/09/2022,"A selection of powerful images from all over the globe, taken in the past seven days.",0,0.833,0.167,0.4215,POSITIVE,positive
30/09/2022,Large parts of Britain have no train services as rail workers in several unions walk out.,0.128,0.872,0,-0.296,NEGATIVE,negative
30/09/2022,"As Brazil's election - and the World Cup - approach, the famous yellow shirt is being politicised.",0.4479336,0.50454116,0.047525212,0.994923413,NEGATIVE,negative
30/09/2022,The schoolgirl who took her own life aged 14 had a secret Twitter account which reveals her thoughts.,0.5414437,0.44970888,0.008847478,0.995757759,POSITIVE,positive
30/09/2022,"Families of children who miss school face harsher penalties depending on where they live in England, the BBC has found.",0.211,0.789,0,-0.5859,NEGATIVE,negative
30/09/2022,"Wildlife groups praised the move making it illegal to capture, kill, injure or disturb them.",0.437,0.437,0.127,-0.8316,NEGATIVE,negative
30/09/2022,A two-year government-set cap means price rises taking effect on Saturday are lower than expected.,0.145,0.855,0,-0.296,NEGATIVE,negative
30/09/2022,"The prime minister acknowledges that her economic plans will ""involve disruption in the short term"".",0.152,0.848,0,-0.3612,NEGATIVE,negative
30/09/2022,New text messages between Musk and Twitter boss Parag Agrawal reveal how the relationship broke down.,0.157,0.843,0,-0.4215,NEGATIVE,negative
30/09/2022,"The Prince of Wales says online safety for young people should be ""a prerequisite, not an afterthought"".",0,0.851,0.149,0.4215,POSITIVE,positive
30/09/2022,President Putin has sparked an international outcry by annexing four regions of occupied Ukraine.,0.202,0.798,0,-0.5106,NEGATIVE,negative
30/09/2022,"For many voters in Brazil, the election is as much about who they want to keep out as who they want in.",0,0.885,0.115,0.1531,POSITIVE,positive
30/09/2022,Teachers in parts of recently-occupied Ukraine say they were beaten and forced to destroy textbooks.,0.437,0.563,0,-0.8519,NEGATIVE,negative
01/10/2022,"The London Marathon is almost upon us. Here is everything you need to know as 42,000 runners prepare to tackle the iconic course.",0.004611803,0.2982527,0.6971355,0.997523367,POSITIVE,positive
01/10/2022,Stakes are high as the far-right incumbent Jair Bolsonaro could be unseated by left-wing rival Lula.,0.18496655,0.7672438,0.047789637,0.981731176,POSITIVE,positive
01/10/2022,"Leo Varadkar, Mary-Lou McDonald and actor Jimmy Nesbitt amongst the speakers at the 3Arena.",0.01074252,0.9340592,0.05519824,0.98923713,POSITIVE,positive
01/10/2022,Singer Jacob Lusk on the musical rebirth that saw him form the year's most talked-about new band.,0.002014021,0.5280514,0.46993464,0.999765337,POSITIVE,positive
01/10/2022,Up to 1.6 tonnes of explosives were used to level the 65m (213ft) structure.,0.42031574,0.5589558,0.020728538,0.99247241,NEGATIVE,negative
01/10/2022,"Greater Manchester Police says it will continue excavation works but ""conditions are difficult"".",0,0.873,0.127,0.1901,POSITIVE,positive
01/10/2022,The Junkoactive Wasteman and the Tin Can Twins are touring festivals and shows with their music.,0,0.857,0.143,0.3612,POSITIVE,positive
01/10/2022,Polling in Sunday's papers indicates that faith in the government's economic competence is damaged.,0.164,0.678,0.158,-0.0258,NEGATIVE,negative
01/10/2022,"Lewis Hamilton dismisses ongoing controversy about his wearing a nose stud in his F1 car as ""all a bit silly"", as the issue blows up again at the Singapore Grand Prix.",0,0.903,0.097,0.4588,POSITIVE,positive
01/10/2022,The tech billionaire claims the robot will change the future of physical work.,0.009827573,0.3235862,0.6665862,0.942943454,NEGATIVE,negative
01/10/2022,The deadliest tally in years comes amid a big increase in Israeli military raids.,0,0.839,0.161,0.3182,POSITIVE,positive
01/10/2022,The Mirror newspaper apologises after mistaking another man for the chancellor in an online story.,0.124,0.769,0.107,-0.0772,NEGATIVE,negative
01/10/2022,The day of action across the UK sees people highlight the cost-of-living crisis and the environment.,0.2,0.683,0.117,-0.4019,NEGATIVE,negative
01/10/2022,"Almost four decades on, the unlikely friendships made during the 1984 miners' strike remain strong.",0.077,0.619,0.304,0.6597,POSITIVE,positive
01/10/2022,MOTD2 pundit Danny Murphy says Manchester United manager Erik ten Hag has a big decision to make in midfield for Sunday's Manchester derby.,0,0.882,0.118,0.4215,POSITIVE,positive
01/10/2022,"Watch the goal by Newcastle's Miguel Almiron that Match of the Day pundit Alan Shearer calls a ""goal of the season contender"" in the Magpies' 4-1 Premier League win over Fulham at Craven Cottage.",0,0.854,0.146,0.6486,POSITIVE,positive
01/10/2022,BBC Sport looks at the key refereeing decisions on a dramatic and controversial day of Premier League action.,0.101,0.899,0,-0.2023,NEGATIVE,negative
01/10/2022,Liverpool boss Jurgen Klopp vows his side will fight through their poor form as Reds' draw with Brighton leaves them 11 points off the top of the table.,0.175,0.769,0.055,-0.5994,NEGATIVE,negative
01/10/2022,"Arsenal have flattered to deceive in recent seasons, but their outstanding win against Tottenham is proof they have rediscovered their identity.",0.059,0.542,0.399,0.9127,POSITIVE,positive
